Alto,Ancho,Circunferencia,Radio,Etiqueta
11,7,17,2.7 ,0
10,6.5,19,3.0 ,0
8,6,17.5,2.8 ,0
9,7,17.5,2.8 ,0
8.3,5,16,2.5 ,0
7.5,6,17.2,2.7 ,0
11.2,6.7,19.5,3.1 ,0
11.5,6,17.8,2.8 ,0
11.1,5.5,16.9,2.7 ,0
9,6,17.8,2.8 ,0
11.3,5.5,18,2.9 ,0
10.4,5.5,15.5,2.5 ,0
10.9,7.5,17.3,2.8 ,0
9,6,18.5,2.9 ,0
8.2,6.3,17.6,2.8 ,0
8.9,7.1,17.3,2.8 ,0
8.5,4.9,16.3,2.6 ,0
11,6.5,19,3.0 ,0
10.9,5.3,16.5,2.6 ,0
8.9,5.9,17.4,2.8 ,0
11.2,5.4,17,2.7 ,0
10.2,5.2,15.6,2.5 ,0
8.1,5.4,13.5,2.1 ,0
10.4,5.5,15.5,2.5 ,0
10.9,7.5,17.3,2.8 ,0
9,6,18.5,2.9 ,0
8.2,6.3,17.6,2.8 ,0
8.9,7.1,17.3,2.8 ,0
11,7.2,17.3,2.8 ,0
6,9,25,4.0 ,1
6.5,6,20,3.2 ,1
6,5.5,18,2.9 ,1
7,7,22,3.5 ,1
11.5,8.5,22,3.5 ,1
8.5,6,18,2.9 ,1
10.5,6.5,19,3.0 ,1
10.5,8.5,21,3.3 ,1
6.3,9.4,24,3.8 ,1
6.4,6.1,21,3.3 ,1
6.3,5.5,18.4,2.9 ,1
7,7.3,20,3.2 ,1
11.3,8.3,21.5,3.4 ,1
11.2,8.2,21,3.3 ,1
10,8,19,3.0 ,1
9,8,18,2.9 ,1
8.5,7,20,3.2 ,1
10,6,18,2.9 ,1
6,6.5,17.5,2.8 ,1
11.5,9,24,3.8 ,1
11.5,8.5,22,3.5 ,1
8.5,6,18,2.9 ,1
10.5,6.5,19,3.0 ,1
10.5,8.5,21,3.3 ,1
6.3,9.4,24,3.8 ,1
11,8,21,3.3 ,1
11.3,8,20,3.2 ,1
10.5,8,19.5,3.1 ,1
9.5,8,18,2.9 ,1
8.5,7,20,3.2 ,1
8.5,8,21,3.3 ,1
6.5,7,20,3.2 ,2
5.5,6.5,17,2.7 ,2
5.5,6.4,19.5,3.1 ,2
6,6.5,20.5,3.3 ,2
7,6.7,21.5,3.4 ,2
6.5,6.6,20.5,3.3 ,2
6.7,6.5,15.5,2.5 ,2
5.5,6.2,17,2.7 ,2
5.7,6.5,20,3.2 ,2
6,7,16.5,2.6 ,2
6.3,6.5,18,2.9 ,2
6,6.5,18.5,2.9 ,2
6.4,6.9,19,3.0 ,2
5.9,6.3,18.7,3.0 ,2
6.9,6.6,21.4,3.4 ,2
6.5,6.7,15.5,2.5 ,2
5.5,6.3,18,2.9 ,2
5.5,6.2,17,2.7 ,2
5.7,6.5,20,3.2 ,2
6,7,16.5,2.6 ,2
6.3,6.5,18,2.9 ,2
6,6.5,18.5,2.9 ,2
6,7,20,3.2 ,2
6.4,6,19,3.0 ,2
5.6,6.4,19.5,3.1 ,2
6.6,6,16,2.5 ,2
5.5,6.3,18,2.9 ,2
5.5,6.2,17,2.7 ,2
5.7,6.5,20,3.2 ,2
6,7,16.5,2.6 ,2
