largo,ancho,area,contorno,categoria
6.6,5,25.92 ,36.62 ,0
6.6,5,25.92 ,36.62 ,0
7,5,27.49 ,37.96 ,0
6.4,5,25.13 ,35.95 ,0
6.7,4.8,25.26 ,36.38 ,0
6.6,4.9,25.40 ,36.33 ,0
6.5,4.8,24.50 ,35.70 ,0
6.5,4.8,24.50 ,35.70 ,0
7,4.8,26.39 ,37.39 ,0
6.9,5,27.10 ,37.62 ,0
6.8,5,26.70 ,37.29 ,0
7,4.8,26.39 ,37.39 ,0
6.6,5.2,26.95 ,37.20 ,0
6.7,4.7,24.73 ,36.09 ,0
6.5,4.8,24.50 ,35.70 ,0
6.8,5,26.70 ,37.29 ,0
6.7,4.8,25.26 ,36.38 ,0
6.7,5.2,27.36 ,37.53 ,0
6.9,4.7,25.47 ,36.77 ,0
6.6,5.3,27.47 ,37.50 ,0
6.6,5,25.92 ,36.62 ,0
6.6,5,25.92 ,36.62 ,0
6.9,5,27.10 ,37.62 ,0
6.6,4.9,25.40 ,36.33 ,0
6.8,4.9,26.17 ,37.00 ,0
6.6,5,25.92 ,36.62 ,0
6.8,5,26.70 ,37.29 ,0
6.8,4.8,25.64 ,36.71 ,0
6.7,4.7,24.73 ,36.09 ,0
6.7,5,26.31 ,36.95 ,0
6.4,4.7,23.62 ,35.08 ,1
5.5,4.9,21.17 ,32.70 ,1
6,4.9,23.09 ,34.33 ,1
4.9,3.5,13.47 ,26.57 ,1
4.3,4,13.51 ,26.08 ,1
5,4.2,16.49 ,28.96 ,1
5.3,4.1,17.07 ,29.65 ,1
7,5.9,32.44 ,40.60 ,1
4.1,4,12.88 ,25.45 ,1
5.9,5,23.17 ,34.30 ,1
5,4.3,16.89 ,29.26 ,1
3.9,2.7,8.27 ,20.91 ,1
4.3,3.7,12.50 ,25.17 ,1
5.3,5.2,21.65 ,32.99 ,1
3.4,2.6,6.94 ,18.93 ,1
4.4,2.7,9.33 ,22.63 ,1
5.1,4,16.02 ,28.69 ,1
4.5,3.5,12.37 ,25.23 ,1
4,2.4,7.54 ,20.42 ,1
4.5,2.6,9.19 ,22.71 ,1
5.6,4,17.59 ,30.37 ,1
3.6,3,8.48 ,20.78 ,1
4,2.7,8.48 ,21.25 ,1
4.5,4,14.14 ,26.73 ,1
5,4,15.71 ,28.36 ,1
5.2,3.3,13.48 ,27.04 ,1
3.6,2.7,7.63 ,19.89 ,1
3.5,3.2,8.80 ,21.06 ,1
4.8,3.2,12.06 ,25.38 ,1
5.4,3.3,14.00 ,27.73 ,1
4,3.3,10.37 ,22.99 ,2
6.6,5.4,27.99 ,37.79 ,2
6,5.5,25.92 ,36.15 ,2
6.2,4.5,21.91 ,33.83 ,2
6,5,23.56 ,34.63 ,2
5.9,5,23.17 ,34.30 ,2
3.7,3.1,9.01 ,21.40 ,2
5,3.3,12.96 ,26.35 ,2
6,4.6,21.68 ,33.45 ,2
6.4,6,30.16 ,38.97 ,2
5,3.5,13.74 ,26.91 ,2
5.2,3.4,13.89 ,27.31 ,2
5,4.7,18.46 ,30.48 ,2
6.4,6,30.16 ,38.97 ,2
6,5,23.56 ,34.63 ,2
5,4.3,16.89 ,29.26 ,2
3.8,3,8.95 ,21.44 ,2
6,4.2,19.79 ,32.29 ,2
7,5,27.49 ,37.96 ,2
6.6,5.8,30.07 ,39.00 ,2
3.2,2,5.03 ,16.55 ,2
3.3,2,5.18 ,16.90 ,2
8.4,4,26.39 ,40.19 ,2
5,3.5,13.74 ,26.91 ,2
5,5.5,21.60 ,33.01 ,2
4,3,9.42 ,22.10 ,2
4.1,2.8,9.02 ,21.87 ,2
4,2.3,7.23 ,20.15 ,2
6.6,6,31.10 ,39.61 ,2
6.6,5.4,27.99 ,37.79 ,2
